"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","682","test_enter","modules.function.Remi","Mon Jun 16 18:28:46 CST 2025","failed","Mon Jun 16 18:28:47 CST 2025","TestRemiEnter","test_remiEnter","",""
"","3531","test_back","modules.function.Remi","Mon Jun 16 18:28:48 CST 2025","failed","Mon Jun 16 18:28:52 CST 2025","TestRemiEnter","test_remiEnter","",""
"","3369","test_back","modules.function.QiuQIu","Mon Jun 16 18:28:55 CST 2025","failed","Mon Jun 16 18:28:58 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","926","test_isInMain","modules.function.login","Mon Jun 16 18:28:41 CST 2025","passed","Mon Jun 16 18:28:42 CST 2025","TestLogin","test_login","",""
"","1","test_connect","modules.function.login","Mon Jun 16 18:28:00 CST 2025","passed","Mon Jun 16 18:28:00 CST 2025","TestLogin","test_login","",""
"","20487","test_appstart","modules.function.login","Mon Jun 16 18:28:01 CST 2025","passed","Mon Jun 16 18:28:22 CST 2025","TestLogin","test_login","",""
"","615","test_enter","modules.function.QiuQIu","Mon Jun 16 18:28:53 CST 2025","failed","Mon Jun 16 18:28:53 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","17375","test_closeWindows","modules.function.login","Mon Jun 16 18:28:23 CST 2025","passed","Mon Jun 16 18:28:40 CST 2025","TestLogin","test_login","",""
