"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20513","test_appstart","modules.function.login","Mon Jun 16 18:26:24 CST 2025","passed","Mon Jun 16 18:26:44 CST 2025","TestLogin","test_login","",""
"","0","test_connect","modules.function.login","Mon Jun 16 18:26:23 CST 2025","passed","Mon Jun 16 18:26:23 CST 2025","TestLogin","test_login","",""
"","17470","test_closeWindows","modules.function.login","Mon Jun 16 18:26:46 CST 2025","passed","Mon Jun 16 18:27:03 CST 2025","TestLogin","test_login","",""
"","0","test_isInMain","modules.function.login","Mon Jun 16 18:27:04 CST 2025","broken","Mon Jun 16 18:27:04 CST 2025","TestLogin","test_login","",""
