"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20468","test_appstart","modules.function.login","Thu Jun 12 16:21:46 CST 2025","passed","Thu Jun 12 16:22:06 CST 2025","TestLogin","test_login","",""
"","10012","test_closeWindows","modules.function.login","Thu Jun 12 16:22:07 CST 2025","passed","Thu Jun 12 16:22:17 CST 2025","TestLogin","test_login","",""
"","0","test_connect","modules.function.login","Thu Jun 12 16:21:45 CST 2025","passed","Thu Jun 12 16:21:45 CST 2025","TestLogin","test_login","",""
"","945","test_back","modules.function.QiuQIu","Thu Jun 12 16:22:32 CST 2025","passed","Thu Jun 12 16:22:33 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","1026","test_isInMain","modules.function.login","Thu Jun 12 16:22:19 CST 2025","passed","Thu Jun 12 16:22:20 CST 2025","TestLogin","test_login","",""
"","1037","test_enter","modules.function.QiuQIu","Thu Jun 12 16:22:30 CST 2025","passed","Thu Jun 12 16:22:31 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","947","test_back","modules.function.Remi","Thu Jun 12 16:22:28 CST 2025","passed","Thu Jun 12 16:22:29 CST 2025","TestRemiEnter","test_remiEnter","",""
"","2843","test_enter","modules.function.Remi","Thu Jun 12 16:22:24 CST 2025","passed","Thu Jun 12 16:22:27 CST 2025","TestRemiEnter","test_remiEnter","",""
