INFO     airtest.core.api:cv.py:59 Try finding: Template(E:\AUTO\pythonProject\modules\function\login\img\main_view.png)
DEBUG    airtest.core.api:cv.py:189 try match with MultiScaleTemplateMatchingPre
DEBUG    airtest.aircv.utils:utils.py:21 find_best_result() run time is 0.00 s.
DEBUG    airtest.core.api:cv.py:189 try match with TemplateMatching
DEBUG    airtest.aircv.template_matching:template_matching.py:84 [Template] threshold=0.7, result={'result': (1155, 977), 'rectangle': ((670, 914), (670, 1040), (1640, 1040), (1640, 914)), 'confidence': 0.32359954714775085}
DEBUG    airtest.aircv.utils:utils.py:21 find_best_result() run time is 0.06 s.
DEBUG    airtest.core.api:cv.py:189 try match with SIFTMatching
DEBUG    airtest.aircv.keypoint_base:keypoint_base.py:85 [SIFT] threshold=0.7, result={'result': (1090, 988), 'rectangle': [(464, 908), (464, 1069), (1717, 1069), (1717, 908)], 'confidence': 0.9937519133090973}
DEBUG    airtest.aircv.utils:utils.py:21 find_best_result() run time is 0.81 s.
DEBUG    airtest.core.api:cv.py:155 match result: {'result': (1090, 988), 'rectangle': [(464, 908), (464, 1069), (1717, 1069), (1717, 908)], 'confidence': 0.9937519133090973, 'time': 0.8148114681243896}
