"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3079","test_back","modules.function.QiuQIu","Tue Jun 17 10:08:14 CST 2025","failed","Tue Jun 17 10:08:18 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","958","test_isInMain","modules.function.login","Tue Jun 17 10:07:51 CST 2025","passed","Tue Jun 17 10:07:52 CST 2025","TestLogin","test_login","",""
"","4785","test_enter","modules.function.Remi","Tue Jun 17 10:07:59 CST 2025","passed","Tue Jun 17 10:08:03 CST 2025","TestRemiEnter","test_remiEnter","",""
"","20525","test_appstart","modules.function.login","Tue Jun 17 10:06:58 CST 2025","passed","Tue Jun 17 10:07:18 CST 2025","TestLogin","test_login","",""
"","0","test_connect","modules.function.login","Tue Jun 17 10:06:57 CST 2025","passed","Tue Jun 17 10:06:57 CST 2025","TestLogin","test_login","",""
"","3136","test_enter","modules.function.QiuQIu","Tue Jun 17 10:08:10 CST 2025","failed","Tue Jun 17 10:08:13 CST 2025","TestQiuqiuEnter","test_qiuqiuEnter","",""
"","30629","test_closeWindows","modules.function.login","Tue Jun 17 10:07:19 CST 2025","passed","Tue Jun 17 10:07:50 CST 2025","TestLogin","test_login","",""
"","2715","test_back","modules.function.Remi","Tue Jun 17 10:08:05 CST 2025","passed","Tue Jun 17 10:08:08 CST 2025","TestRemiEnter","test_remiEnter","",""
